participant,vis,rdirection,sign,visandsign,rbase,approach,jnd
hscf2qzg,line,negative,-1,linenegative,0.8,above,0.177916667
hscf2qzg,line,negative,-1,linenegative,0.5,below,0.361666667
hskfiavk,radar,negative,-1,radarnegative,0.4,below,0.86
hskfiavk,radar,negative,-1,radarnegative,0.4,above,0.355
hskfiavk,radar,negative,-1,radarnegative,0.7,below,0.176666667
hskfiavk,radar,negative,-1,radarnegative,0.7,above,0.2825
hrpgmt4c,parallelCoordinates,positive,1,parallelCoordinatespositive,0.5,below,0.141666667
hrpgmt4c,parallelCoordinates,positive,1,parallelCoordinatespositive,0.8,above,0.095
hrpgmt4c,parallelCoordinates,positive,1,parallelCoordinatespositive,0.8,below,0.12
hrpgmt4c,parallelCoordinates,positive,1,parallelCoordinatespositive,0.5,above,0.216666667
hrqf5vvz,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.3,above,0.121666667
hrqf5vvz,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.6,below,0.178333333
hrqf5vvz,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.3,below,0.265833333
hrqf5vvz,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.6,above,0.126666667
hrseb6wo,parallelCoordinates,positive,1,parallelCoordinatespositive,0.7,above,0.156666667
hrseb6wo,parallelCoordinates,positive,1,parallelCoordinatespositive,0.4,below,0.166666667
hrseb6wo,parallelCoordinates,positive,1,parallelCoordinatespositive,0.4,above,0.168333333
hrseb6wo,parallelCoordinates,positive,1,parallelCoordinatespositive,0.7,below,0.183333333
hsxyhl0y,ordered_line,positive,1,ordered_linepositive,0.5,above,0.26
hsxyhl0y,ordered_line,positive,1,ordered_linepositive,0.8,above,0.1
hsxyhl0y,ordered_line,positive,1,ordered_linepositive,0.5,below,0.193333333
hsxyhl0y,ordered_line,positive,1,ordered_linepositive,0.8,below,0.231666667
hsjjvayu,radar,positive,1,radarpositive,0.8,below,0.181666667
hsjjvayu,radar,positive,1,radarpositive,0.5,below,0.226666667
hsjjvayu,radar,positive,1,radarpositive,0.5,above,0.116666667
hsjjvayu,radar,positive,1,radarpositive,0.8,above,0.039166667
hs4wedif,stackedbar,positive,1,stackedbarpositive,0.6,below,0.47
hs4wedif,stackedbar,positive,1,stackedbarpositive,0.6,above,0.388333333
